rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source,duplicate_flag,kijiji_url,kijiji_price,kijiji_seller_type
1,2022,Subaru,Forester,touring,3,26888,No change noted,Unchanged for 1 weeks,1,26888,26888,0,0,32750,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1727499601,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2022-subaru-forester-touring-pkg-blind-spot-monitor-reverse/1727499601,0.39528037914036296,Kijiji,No,,,
2,2022,Subaru,Forester,touring,3,21401,No change noted,"Down $1,700 over 3 weeks",3,23101,22301,-900,-1700,112038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737504633,https://www.kijiji.ca/v-cars-trucks/moncton/2022-subaru-forester-touring-awd-back-up-camera-heated-seats/1737504633,0.4001728564432652,Kijiji,No,,,
3,2021,Subaru,Forester,touring,3,26899,No change noted,Unchanged for 3 weeks,3,26899,26899,0,0,49574,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1737660548,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-touring/1737660548,0.410309913304558,Kijiji,No,,,
4,2023,Subaru,Forester,touring,3,27588,No change noted,Unchanged for 3 weeks,3,27588,27588,0,0,46548,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1733601311,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-subaru-forester-touring-touring-one-owner-low-km-a/1733601311,0.4158326040241707,Kijiji,No,,,
5,2023,Subaru,Forester,touring,3,23998,No change noted,Unchanged for 3 weeks,3,23998,23998,0,0,106000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737294225,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2023-subaru-forester-touring-carfax-power-seat-sunroof-awd/1737294225,0.4257425404181096,Kijiji,No,,,
6,2019,Subaru,Forester,Unknown,1,6375,No change noted,Unchanged for 1 weeks,1,6375,6375,0,0,175000,2.0L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738425177,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-hyundai-elantra-2-0l-4-cyl-manual-6-speed/1738425177,0.42704823467551556,Kijiji,No,,,
7,2020,Subaru,Forester,touring,3,24900,No change noted,Unchanged for 2 weeks,2,24900,24900,0,0,107336,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1732945400,https://www.kijiji.ca/v-cars-trucks/st-catharines/2020-subaru-forester-2-5i-touring/1732945400,0.43766373749063253,Kijiji,No,,,
8,2023,Subaru,Forester,touring,3,30832,No change noted,"Down $1,318 over 1 weeks",1,32150,32150,-1318,-1318,30038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738400696,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-cvt/1738400696,0.43983113421327685,Kijiji,No,,,
9,2024,Subaru,Forester,touring,3,29995,No change noted,First seen this week,0,29995,29995,0,0,54570,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738701377,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-subaru-forester-touring-awd/1738701377,0.4515912902670908,Kijiji,No,,,
10,2021,Subaru,Forester,touring,3,19995,No change noted,Unchanged for 2 weeks,2,19995,19995,0,0,191850,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737823176,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-touring-awd-clean-loaded-new-inspecti/1737823176,0.45411269803851295,Kijiji,No,,,
11,2024,Subaru,Forester,touring,3,31495,No change noted,Unchanged for 1 weeks,1,31495,31495,0,0,38476,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738532943,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2024-subaru-forester-touring-carplay-bancs-chauffants/1738532943,0.4551963066846529,Kijiji,No,,,
12,2023,Subaru,Forester,touring,3,25900,No change noted,Down $600 over 3 weeks,3,26500,26500,-600,-600,113935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1731571251,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-subaru-forester-touring/1731571251,0.4554122785910446,Kijiji,No,,,
13,2021,Subaru,Forester,touring,3,22995,No change noted,Unchanged for 3 weeks,3,22995,22995,0,0,154400,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737713877,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-2-5i-touring-awd-clean-loaded-priced/1737713877,0.45666293906767996,Kijiji,No,,,
14,2019,Subaru,Forester,convenience,1,16900,No change noted,First seen this week,0,16900,16900,0,0,90000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738795946,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester/1738795946,0.4593255645704126,Kijiji,No,,,
